Section_Number,X_Section,Y_Leading_Edge,Z_Leading_Edge,Y_Trailing_Edge,Z_Trailing_Edge,Theta,YCP,ZCP,Chord,,,,
1,0.015,0.00831,0.00903,-0.00265,0.00096,36.34,0.0060525,0.0037264,0.01096,0.006895,0.0065325,0.00557,0.0070125
2,0.02,0.00919,0.00991,-0.00243,0.00084,37.99,0.0068025,0.0039508,0.01162,0.0075,0.0072225,0.006285,0.0076425
3,0.025,0.01001,0.01045,-0.00286,0.00045,37.9,0.0075,0.0043758,0.01287,0.0082225,0.007725,0.0067925,0.00795
4,0.03,0.01076,0.01074,-0.00399,-0.0002,36.56,0.008205,0.005015,0.01475,0.0090675,0.008105,0.0070725,0.008005
5,0.035,0.01139,0.01079,-0.00562,-0.00102,34.78,0.0088575,0.0057834,0.01701,0.0099475,0.0083475,0.0071375,0.0078375
6,0.04,0.01191,0.01072,-0.0075,-0.0019,33.03,0.009465,0.0065994,0.01941,0.0108075,0.008515,0.0070575,0.007565
7,0.045,0.01231,0.01062,-0.00937,-0.00268,31.51,0.009975,0.0073712,0.02168,0.011575,0.008635,0.00689,0.007295
8,0.05,0.01261,0.01052,-0.01104,-0.00325,30.21,0.0103275,0.008041,0.02365,0.0122175,0.0087025,0.0066975,0.0070775
9,0.055,0.01278,0.01041,-0.01243,-0.0036,29.07,0.0105075,0.0085714,0.02521,0.0126925,0.0087075,0.0064775,0.0069075
10,0.06,0.01281,0.01029,-0.01351,-0.00373,28.03,0.010515,0.0089488,0.02632,0.012985,0.00865,0.00623,0.006785
11,0.065,0.0127,0.01014,-0.01426,-0.00364,27.08,0.010335,0.0091664,0.02696,0.01309,0.008515,0.00596,0.006695
12,0.07,0.01241,0.00997,-0.01467,-0.00335,26.19,0.00999,0.0092072,0.02708,0.012975,0.008315,0.00564,0.00664
13,0.075,0.01195,0.00977,-0.01473,-0.00287,25.34,0.00948,0.0090712,0.02668,0.012645,0.008045,0.00528,0.00661
14,0.08,0.01132,0.00955,-0.01442,-0.0022,24.53,0.0088125,0.0087516,0.02574,0.012095,0.0077125,0.004885,0.0066125
15,0.085,0.0105,0.00931,-0.01376,-0.00137,23.75,0.00801,0.0082484,0.02426,0.011315,0.007325,0.004435,0.00664
16,0.09,0.0095,0.00906,-0.01275,-0.00039,23,0.0070875,0.007565,0.02225,0.0103125,0.0068925,0.0039375,0.0066975
17,0.095,0.00832,0.00879,-0.01139,0.00071,22.29,0.00606,0.0067014,0.01971,0.0090875,0.006415,0.0033925,0.00677
18,0.1,0.00697,0.00851,-0.00972,0.00191,21.58,0.00495,0.0056746,0.01669,0.0076575,0.005905,0.0027975,0.00686
19,0.105,0.0052,0.00812,-0.00769,0.00324,20.71,0.00366,0.0043826,0.01289,0.0058225,0.00528,0.0019775,0.0069
20,0.106,0.00468,0.00798,-0.0072,0.00353,20.5,0.0033375,0.0040392,0.01188,0.00531,0.0051025,0.00171,0.0068675
21,0.107,0.00405,0.00779,-0.00666,0.00383,20.28,0.00297,0.0036414,0.01071,0.0047025,0.004885,0.0013725,0.0068
22,0.108,0.00325,0.00754,-0.00605,0.00414,20.09,0.00255,0.003162,0.0093,0.00395,0.00462,0.000925,0.00669
23,0.109,0.0022,0.00719,-0.00534,0.00447,19.8,0.00204,0.0025636,0.00754,0.002985,0.004275,0.000315,0.00651
24,0.11,0.0007,0.00666,-0.00445,0.00483,19.48,0.0013725,0.001751,0.00515,0.0016375,0.0037875,-0.0005875,0.0062025
25,0.1111,0,0,0,0,0,0,0,0,0,0,0,0
